Source:,/home/kolijn/Temp/ttntrackernode/schematic/v3/gps_node.sch,,,,,,,,,,,,
Date:,Sun 11 Nov 2018 14:27:34 SAST,,,,,,,,,,,,
Tool:,Eeschema 5.0.0-fee4fd1~66~ubuntu16.04.1,,,,,,,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,
Component Count:,73,,,,,,,,,,,,
,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,
,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey,Manufacturer,,,,,
,,D3,LED,gps_node-rescue:LED-Device,LEDs:LED_0805_HandSoldering,~,,,,,,,
,,D4,LED,gps_node-rescue:LED-Device,LEDs:LED_0805_HandSoldering,~,,,,,,,
,,F1,Polyfuse,gps_node-rescue:Polyfuse,gps_node_components:bourns polyfuse,,,,,,,,
,,IC1,MCP73831/2,gps_node-rescue:MCP73831_2,TO_SOT_Packages_SMD:SOT-23-5,,,Microchip Technology,,,,,
,,J1,Mounting Hole,gps_node-rescue:Conn_01x01,Mounting_Holes:MountingHole_3.2mm_M3_ISO14580_Pad,,,,,,,,
,,J2,Mounting Hole,gps_node-rescue:Conn_01x01,Mounting_Holes:MountingHole_3.2mm_M3_ISO14580_Pad,,,,,,,,
,,J3,Mounting Hole,gps_node-rescue:Conn_01x01,Mounting_Holes:MountingHole_3.2mm_M3_ISO14580_Pad,,,,,,,,
,,J4,Mounting Hole,gps_node-rescue:Conn_01x01,Mounting_Holes:MountingHole_3.2mm_M3_ISO14580_Pad,,,,,,,,
,,J5,TEST Vbatt,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,,,,,
,,J6,USB_OTG,gps_node-rescue:USB_OTG,gps_node_components:Molex_Microusb,,,,,,,,
,,J7,Test 3.3v,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,,,,,
,,J8,Test Gnd,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,,,,,
,,J9,Test V_bak,gps_node-rescue:Conn_01x01,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,,,,,
,,J11,AVR ICSP,gps_node-rescue:Conn_02x03_Odd_Even,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,,,,,,,,
,,J12,UART RF,gps_node-rescue:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,,,,,,,
,,J13,LIPO_BAT,gps_node-rescue:Conn_01x02,Connectors_Molex:Molex_PicoBlade_53047-0210_02x1.25mm_Straight,,,,,,,,
,,J15,UART GPS,gps_node-rescue:Conn_01x03,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,,,,,,,
,,J16,FW_UPDATE,gps_node-rescue:Conn_01x06,Pin_Headers:Pin_Header_Straight_1x06_Pitch2.54mm,,,,,,,,
,,J17,u.FL connector,gps_node-rescue:Conn_Coaxial,gps_node_components:CONN-RF-UFL,,,,,,,,
,,R1,10k,gps_node-rescue:R_Small,Resistors_SMD:R_0805,,,,,,,,
,,R2,220,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
,,R3,220,gps_node-rescue:R-Device,Resistors_SMD:R_0805,~,,,,,,,
